Project,Directory,Sample ID,Sex,Birth Date,DO Generation,Unique Sample ID
Univ_of_Penn_Thaiss,Univ_of_Penn_Thiass_MURGIGV01_20200220,5,,,32,5
Univ_of_Penn_Thaiss,Univ_of_Penn_Thiass_MURGIGV01_20200220,18,,,32,18
Univ_of_Penn_Thaiss,Univ_of_Penn_Thiass_MURGIGV01_20200220,50,,,32,50
Univ_of_Penn_Thaiss,Univ_of_Penn_Thiass_MURGIGV01_20200220,51,,,32,51
Univ_of_Penn_Thaiss,Univ_of_Penn_Thiass_MURGIGV01_20200220,65,,,32,65
Univ_of_Penn_Thaiss,Univ_of_Penn_Thiass_MURGIGV01_20200220,66,,,32,66
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,1,,,32,1
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,2,,,32,2
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,3,,,32,3
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,4,,,32,4
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,6,,,32,6
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,7,,,32,7
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,8,,,32,8
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,9,,,32,9
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,10,,,32,10
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,11,,,32,11
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,12,,,32,12
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,13,,,32,13
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,14,,,32,14
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,15,,,32,15
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,16,,,32,16
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,17,,,32,17
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,19,,,32,19
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,20,,,32,20
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,21,,,32,21
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,22,,,32,22
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,23,,,32,23
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,24,,,32,24
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,25,,,32,25
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,26,,,32,26
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,27,,,32,27
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,28,,,32,28
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,29,,,32,29
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,30,,,32,30
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,31,,,32,31
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,32,,,32,32
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,33,,,32,33
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,34,,,32,34
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,35,,,32,35
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,36,,,32,36
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,37,,,32,37
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,38,,,32,38
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,39,,,32,39
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,40,,,32,40
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,41,,,32,41
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,42,,,32,42
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,43,,,32,43
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,44,,,32,44
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,45,,,32,45
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,46,,,32,46
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,47,,,32,47
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,48,,,32,48
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,49,,,32,49
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,52,,,32,52
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,53,,,32,53
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,54,,,32,54
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,55,,,32,55
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,56,,,32,56
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,57,,,32,57
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,58,,,32,58
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,59,,,32,59
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,60,,,32,60
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,61,,,32,61
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,62,,,32,62
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,63,,,32,63
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,64,,,32,64
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,67,,,32,67
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,68,,,32,68
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,69,,,32,69
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,70,,,32,70
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,71,,,32,71
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,72,,,32,72
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,73,,,32,73
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,74,,,32,74
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,75,,,32,75
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,76,,,32,76
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,77,,,32,77
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,78,,,32,78
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,79,,,32,79
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,80,,,32,80
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,81,,,32,81
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,82,,,32,82
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,83,,,32,83
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,84,,,32,84
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,85,,,32,85
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,86,,,32,86
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,87,,,32,87
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,88,,,32,88
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,89,,,32,89
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,91,,,32,91
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,92,,,32,92
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,93,,,32,93
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,94,,,32,94
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,95,,,32,95
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,96,,,32,96
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,97,,,32,97
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,98,,,32,98
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,99,,,32,99
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,100,,,32,100
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,101,,,32,101
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,102,,,32,102
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,103,,,32,103
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,104,,,32,104
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,106,,,32,106
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,107,,,32,107
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,108,,,32,108
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,109,,,32,109
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,110,,,32,110
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,111,,,32,111
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,112,,,32,112
Univ_of_Penn_Thaiss,Univ_of_Penn_Thiass_MURGIGV01_20200226,90,,,32,90
Univ_of_Penn_Thaiss,Univ_of_Penn_Thiass_MURGIGV01_20200226,105,,,32,105